499 {'ptime': 1665410400, 'popen': 19315.02, 'phigh': 19341.48, 'plow': 19291.77, 'pclose': 19327.9, 'ma7': 0, 'ma25': 0, 'ma99': 0, 'below': False, 'above': True} 19114.24 19134.63
394 {'ptime': 1665765900, 'popen': 19358.74, 'phigh': 19367.82, 'plow': 19280.0, 'pclose': 19303.26, 'ma7': 19352.882857142857, 'ma25': 19551.808800000003, 'ma99': 19531.298787878783, 'below': False, 'above': False} 19037.39 19377.19
393 {'ptime': 1665765000, 'popen': 19327.45, 'phigh': 19376.23, 'plow': 19309.63, 'pclose': 19358.74, 'ma7': 19367.79857142857, 'ma25': 19566.04, 'ma99': 19527.25686868686, 'below': True, 'above': False} 19037.39 19377.19
392 {'ptime': 1665764100, 'popen': 19259.84, 'phigh': 19331.09, 'plow': 19220.73, 'pclose': 19327.45, 'ma7': 19376.267142857145, 'ma25': 19579.756000000005, 'ma99': 19523.37929292929, 'below': True, 'above': False} 19037.39 19403.6
391 {'ptime': 1665763200, 'popen': 19358.59, 'phigh': 19403.6, 'plow': 19230.0, 'pclose': 19259.84, 'ma7': 19404.35857142857, 'ma25': 19595.3156, 'ma99': 19518.74545454545, 'below': True, 'above': False} 19037.39 19403.6
390 {'ptime': 1665762300, 'popen': 19371.56, 'phigh': 19400.0, 'plow': 19310.2, 'pclose': 19358.59, 'ma7': 19417.732857142855, 'ma25': 19604.804, 'ma99': 19511.01515151515, 'below': True, 'above': False} 19037.39 19405.0
389 {'ptime': 1665761400, 'popen': 19400.19, 'phigh': 19405.0, 'plow': 19344.55, 'pclose': 19369.73, 'ma7': 19459.818571428572, 'ma25': 19612.971999999998, 'ma99': 19501.35949494949, 'below': True, 'above': False} 19037.39 19420.01
388 {'ptime': 1665760500, 'popen': 19393.81, 'phigh': 19420.01, 'plow': 19301.0, 'pclose': 19401.26, 'ma7': 19500.755714285715, 'ma25': 19620.652400000003, 'ma99': 19491.46222222222, 'below': True, 'above': False} 19037.39 19513.35
387 {'ptime': 1665759600, 'popen': 19463.15, 'phigh': 19513.35, 'plow': 19380.41, 'pclose': 19393.81, 'ma7': 19546.46285714286, 'ma25': 19629.604000000003, 'ma99': 19481.499292929293, 'below': True, 'above': False} 19037.39 19513.35
386 {'ptime': 1665758700, 'popen': 19386.73, 'phigh': 19477.76, 'plow': 19382.96, 'pclose': 19463.15, 'ma7': 19589.085714285717, 'ma25': 19635.421199999997, 'ma99': 19471.682626262627, 'below': True, 'above': False} 19037.39 19545.03
385 {'ptime': 1665757800, 'popen': 19456.48, 'phigh': 19545.03, 'plow': 19378.0, 'pclose': 19386.73, 'ma7': 19648.54714285714, 'ma25': 19642.8376, 'ma99': 19462.028282828283, 'below': True, 'above': False} 19037.39 19545.03
384 {'ptime': 1665756900, 'popen': 19452.21, 'phigh': 19477.15, 'plow': 19351.09, 'pclose': 19456.48, 'ma7': 19686.774285714284, 'ma25': 19651.024400000002, 'ma99': 19451.132525252528, 'below': False, 'above': False} 19037.39 19669.88
383 {'ptime': 1665756000, 'popen': 19666.16, 'phigh': 19669.88, 'plow': 19433.96, 'pclose': 19452.81, 'ma7': 19711.768571428573, 'ma25': 19658.624, 'ma99': 19439.60080808081, 'below': False, 'above': False} 19037.39 19688.47
382 {'ptime': 1665755100, 'popen': 19686.75, 'phigh': 19688.47, 'plow': 19624.52, 'pclose': 19664.11, 'ma7': 19703.85857142857, 'ma25': 19656.746, 'ma99': 19425.911313131313, 'below': False, 'above': False} 19037.39 19750.28
381 {'ptime': 1665754200, 'popen': 19713.76, 'phigh': 19750.28, 'plow': 19659.35, 'pclose': 19686.75, 'ma7': 19690.929999999997, 'ma25': 19657.226000000002, 'ma99': 19412.765353535357, 'below': False, 'above': True} 19037.39 19772.35
380 {'ptime': 1665753300, 'popen': 19761.51, 'phigh': 19772.35, 'plow': 19678.54, 'pclose': 19714.4, 'ma7': 19676.40142857143, 'ma25': 19659.559200000003, 'ma99': 19398.747575757578, 'below': False, 'above': True} 19037.39 19815.57
379 {'ptime': 1665752400, 'popen': 19802.96, 'phigh': 19815.57, 'plow': 19752.19, 'pclose': 19761.51, 'ma7': 19667.314285714285, 'ma25': 19660.847200000004, 'ma99': 19388.921414141416, 'below': False, 'above': True} 19037.39 19854.48
378 {'ptime': 1665751500, 'popen': 19724.07, 'phigh': 19854.48, 'plow': 19723.74, 'pclose': 19802.96, 'ma7': 19653.719999999998, 'ma25': 19661.601600000005, 'ma99': 19378.14808080808, 'below': False, 'above': True} 19037.39 19854.48
377 {'ptime': 1665750600, 'popen': 19627.17, 'phigh': 19726.97, 'plow': 19556.77, 'pclose': 19724.07, 'ma7': 19648.455714285716, 'ma25': 19665.456800000007, 'ma99': 19368.350303030304, 'below': False, 'above': False} 19037.39 19854.48
376 {'ptime': 1665749700, 'popen': 19610.79, 'phigh': 19667.73, 'plow': 19595.0, 'pclose': 19627.17, 'ma7': 19654.87, 'ma25': 19671.769600000003, 'ma99': 19360.206363636364, 'below': False, 'above': False} 19037.39 19854.48
375 {'ptime': 1665748800, 'popen': 19596.25, 'phigh': 19658.84, 'plow': 19593.6, 'pclose': 19610.79, 'ma7': 19669.688571428567, 'ma25': 19679.498400000004, 'ma99': 19351.144040404044, 'below': False, 'above': False} 19037.39 19854.48
374 {'ptime': 1665747900, 'popen': 19612.06, 'phigh': 19639.79, 'plow': 19588.22, 'pclose': 19596.25, 'ma7': 19680.274285714288, 'ma25': 19688.516800000005, 'ma99': 19342.264848484854, 'below': False, 'above': False} 19037.39 19854.48
373 {'ptime': 1665747000, 'popen': 19697.9, 'phigh': 19698.47, 'plow': 19607.23, 'pclose': 19612.06, 'ma7': 19685.527142857143, 'ma25': 19696.32960000001, 'ma99': 19332.94545454546, 'below': False, 'above': True} 19037.39 19854.48
372 {'ptime': 1665746100, 'popen': 19707.8, 'phigh': 19748.54, 'plow': 19692.41, 'pclose': 19696.9, 'ma7': 19670.941428571427, 'ma25': 19700.996800000008, 'ma99': 19322.63626262627, 'below': False, 'above': True} 19037.39 19854.48
371 {'ptime': 1665745200, 'popen': 19687.22, 'phigh': 19725.0, 'plow': 19670.0, 'pclose': 19707.8, 'ma7': 19652.078571428574, 'ma25': 19705.213600000006, 'ma99': 19313.176262626275, 'below': False, 'above': False} 19037.39 19854.48
370 {'ptime': 1665744300, 'popen': 19672.07, 'phigh': 19698.95, 'plow': 19657.09, 'pclose': 19687.22, 'ma7': 19638.504285714287, 'ma25': 19710.952800000006, 'ma99': 19306.020606060614, 'below': False, 'above': False} 19037.39 19854.48
369 {'ptime': 1665743400, 'popen': 19714.52, 'phigh': 19743.68, 'plow': 19655.18, 'pclose': 19671.19, 'ma7': 19630.722857142857, 'ma25': 19716.270000000008, 'ma99': 19299.16333333334, 'below': False, 'above': False} 19037.39 19854.48
368 {'ptime': 1665742500, 'popen': 19670.35, 'phigh': 19728.43, 'plow': 19639.35, 'pclose': 19715.72, 'ma7': 19615.588571428572, 'ma25': 19720.902400000003, 'ma99': 19292.063333333343, 'below': False, 'above': False} 19037.39 19854.48
367 {'ptime': 1665741600, 'popen': 19648.83, 'phigh': 19745.0, 'plow': 19628.81, 'pclose': 19670.81, 'ma7': 19601.558571428573, 'ma25': 19726.762400000003, 'ma99': 19285.356868686875, 'below': False, 'above': False} 19037.39 19854.48
366 {'ptime': 1665740700, 'popen': 19595.8, 'phigh': 19665.79, 'plow': 19585.6, 'pclose': 19647.53, 'ma7': 19603.31857142857, 'ma25': 19733.786, 'ma99': 19279.088686868694, 'below': False, 'above': False} 19037.39 19854.48
365 {'ptime': 1665739800, 'popen': 19575.76, 'phigh': 19606.13, 'plow': 19567.57, 'pclose': 19595.0, 'ma7': 19609.947142857145, 'ma25': 19743.9332, 'ma99': 19273.163030303036, 'below': False, 'above': False} 19037.39 19854.48
364 {'ptime': 1665738900, 'popen': 19592.2, 'phigh': 19620.17, 'plow': 19530.0, 'pclose': 19575.76, 'ma7': 19616.15428571429, 'ma25': 19752.371600000002, 'ma99': 19267.468080808085, 'below': False, 'above': False} 19037.39 19854.48
363 {'ptime': 1665738000, 'popen': 19617.6, 'phigh': 19624.57, 'plow': 19589.07, 'pclose': 19592.2, 'ma7': 19631.375714285714, 'ma25': 19761.850800000004, 'ma99': 19261.58161616162, 'below': False, 'above': False} 19037.39 19854.48
362 {'ptime': 1665737100, 'popen': 19608.58, 'phigh': 19620.68, 'plow': 19575.64, 'pclose': 19616.73, 'ma7': 19653.445714285714, 'ma25': 19769.555999999997, 'ma99': 19255.14474747475, 'below': False, 'above': False} 19037.39 19854.48
361 {'ptime': 1665736200, 'popen': 19572.14, 'phigh': 19625.77, 'plow': 19557.94, 'pclose': 19609.55, 'ma7': 19679.89285714286, 'ma25': 19776.1848, 'ma99': 19249.05090909091, 'below': False, 'above': False} 19037.39 19854.48
360 {'ptime': 1665735300, 'popen': 19661.15, 'phigh': 19674.48, 'plow': 19558.26, 'pclose': 19572.14, 'ma7': 19715.56142857143, 'ma25': 19785.8948, 'ma99': 19243.210909090914, 'below': False, 'above': False} 19037.39 19854.48
359 {'ptime': 1665734400, 'popen': 19642.2, 'phigh': 19674.64, 'plow': 19609.38, 'pclose': 19661.15, 'ma7': 19738.318571428572, 'ma25': 19793.876399999997, 'ma99': 19237.014040404043, 'below': False, 'above': False} 19037.39 19854.48
358 {'ptime': 1665733500, 'popen': 19619.21, 'phigh': 19663.5, 'plow': 19590.0, 'pclose': 19642.35, 'ma7': 19758.717142857146, 'ma25': 19797.783599999995, 'ma99': 19230.77454545455, 'below': False, 'above': False} 19037.39 19854.48
357 {'ptime': 1665732600, 'popen': 19698.75, 'phigh': 19707.96, 'plow': 19568.33, 'pclose': 19619.9, 'ma7': 19785.117142857143, 'ma25': 19790.8232, 'ma99': 19225.130909090913, 'below': False, 'above': False} 19037.39 19854.48
356 {'ptime': 1665731700, 'popen': 19772.09, 'phigh': 19778.71, 'plow': 19664.12, 'pclose': 19698.75, 'ma7': 19802.682857142856, 'ma25': 19778.8716, 'ma99': 19218.640505050505, 'below': False, 'above': False} 19037.39 19854.48
355 {'ptime': 1665730800, 'popen': 19793.71, 'phigh': 19805.34, 'plow': 19770.01, 'pclose': 19772.09, 'ma7': 19807.72428571429, 'ma25': 19764.2944, 'ma99': 19211.670101010106, 'below': False, 'above': False} 19037.39 19854.48
354 {'ptime': 1665729900, 'popen': 19821.82, 'phigh': 19830.0, 'plow': 19784.09, 'pclose': 19793.71, 'ma7': 19810.705714285716, 'ma25': 19748.7004, 'ma99': 19204.57090909091, 'below': False, 'above': True} 19037.39 19854.48
353 {'ptime': 1665729000, 'popen': 19820.45, 'phigh': 19824.36, 'plow': 19801.27, 'pclose': 19821.82, 'ma7': 19809.477142857148, 'ma25': 19732.852000000003, 'ma99': 19197.18575757576, 'below': False, 'above': True} 19037.39 19854.48
352 {'ptime': 1665728100, 'popen': 19784.99, 'phigh': 19827.0, 'plow': 19778.2, 'pclose': 19820.45, 'ma7': 19810.941428571427, 'ma25': 19713.973199999997, 'ma99': 19189.95656565657, 'below': False, 'above': False} 19037.39 19854.48
351 {'ptime': 1665727200, 'popen': 19804.01, 'phigh': 19816.79, 'plow': 19778.87, 'pclose': 19784.99, 'ma7': 19813.8, 'ma25': 19697.5968, 'ma99': 19182.77686868687, 'below': False, 'above': False} 19037.39 19854.48
350 {'ptime': 1665726300, 'popen': 19821.71, 'phigh': 19849.79, 'plow': 19796.26, 'pclose': 19804.01, 'ma7': 19817.559999999998, 'ma25': 19679.995600000002, 'ma99': 19175.4997979798, 'below': False, 'above': True} 19037.39 19854.48
349 {'ptime': 1665725400, 'popen': 19807.38, 'phigh': 19829.88, 'plow': 19720.0, 'pclose': 19822.16, 'ma7': 19816.865714285716, 'ma25': 19662.833599999998, 'ma99': 19168.150404040407, 'below': False, 'above': False} 19037.39 19854.48
348 {'ptime': 1665724500, 'popen': 19814.58, 'phigh': 19844.13, 'plow': 19801.18, 'pclose': 19807.38, 'ma7': 19819.299999999996, 'ma25': 19646.708799999997, 'ma99': 19160.88767676768, 'below': False, 'above': False} 19037.39 19854.48
347 {'ptime': 1665723600, 'popen': 19813.22, 'phigh': 19829.5, 'plow': 19802.73, 'pclose': 19814.58, 'ma7': 19824.285714285714, 'ma25': 19631.402, 'ma99': 19153.574343434346, 'below': False, 'above': False} 19037.39 19854.48
346 {'ptime': 1665722700, 'popen': 19830.7, 'phigh': 19838.88, 'plow': 19796.25, 'pclose': 19812.52, 'ma7': 19820.5, 'ma25': 19616.529199999997, 'ma99': 19146.135757575757, 'below': False, 'above': True} 19037.39 19854.48
345 {'ptime': 1665721800, 'popen': 19805.0, 'phigh': 19847.15, 'plow': 19804.36, 'pclose': 19829.79, 'ma7': 19820.282857142858, 'ma25': 19600.3068, 'ma99': 19138.645454545454, 'below': False, 'above': False} 19037.39 19854.48
344 {'ptime': 1665720900, 'popen': 19830.33, 'phigh': 19835.05, 'plow': 19805.0, 'pclose': 19805.43, 'ma7': 19821.030000000002, 'ma25': 19583.922, 'ma99': 19131.464040404044, 'below': False, 'above': True} 19037.39 19854.48
343 {'ptime': 1665720000, 'popen': 19816.85, 'phigh': 19835.76, 'plow': 19792.06, 'pclose': 19829.31, 'ma7': 19813.02571428571, 'ma25': 19566.7552, 'ma99': 19124.081717171717, 'below': False, 'above': True} 19037.39 19854.48
342 {'ptime': 1665719100, 'popen': 19824.42, 'phigh': 19838.0, 'plow': 19802.05, 'pclose': 19816.85, 'ma7': 19812.74571428571, 'ma25': 19549.635599999994, 'ma99': 19116.861212121214, 'below': False, 'above': True} 19037.39 19871.56
341 {'ptime': 1665718200, 'popen': 19849.48, 'phigh': 19871.56, 'plow': 19794.52, 'pclose': 19825.06, 'ma7': 19817.92714285714, 'ma25': 19532.297199999997, 'ma99': 19109.421717171717, 'below': False, 'above': True} 19037.39 19871.56
340 {'ptime': 1665717300, 'popen': 19786.72, 'phigh': 19853.67, 'plow': 19785.42, 'pclose': 19849.48, 'ma7': 19802.27, 'ma25': 19514.519999999997, 'ma99': 19101.578686868685, 'below': False, 'above': False} 19037.39 19871.56
339 {'ptime': 1665716400, 'popen': 19829.18, 'phigh': 19846.11, 'plow': 19780.13, 'pclose': 19786.72, 'ma7': 19753.48142857143, 'ma25': 19498.3556, 'ma99': 19094.194848484847, 'below': False, 'above': True} 19037.39 19871.56
338 {'ptime': 1665715500, 'popen': 19810.23, 'phigh': 19848.88, 'plow': 19809.14, 'pclose': 19829.18, 'ma7': 19692.164285714283, 'ma25': 19480.5304, 'ma99': 19086.641818181815, 'below': False, 'above': True} 19037.39 19888.21
337 {'ptime': 1665714600, 'popen': 19774.3, 'phigh': 19888.21, 'plow': 19772.8, 'pclose': 19810.15, 'ma7': 19634.65428571429, 'ma25': 19464.2516, 'ma99': 19079.538787878788, 'below': False, 'above': True} 19037.39 19888.21
336 {'ptime': 1665713700, 'popen': 19814.89, 'phigh': 19857.37, 'plow': 19768.0, 'pclose': 19774.3, 'ma7': 19581.734285714287, 'ma25': 19451.2124, 'ma99': 19072.74484848485, 'below': False, 'above': True} 19037.39 19899.0
335 {'ptime': 1665712800, 'popen': 19860.69, 'phigh': 19899.0, 'plow': 19777.88, 'pclose': 19814.89, 'ma7': 19526.12285714286, 'ma25': 19433.4144, 'ma99': 19065.876868686868, 'below': False, 'above': True} 19037.39 19951.87
334 {'ptime': 1665711900, 'popen': 19739.88, 'phigh': 19951.87, 'plow': 19736.51, 'pclose': 19860.71, 'ma7': 19452.95, 'ma25': 19413.5716, 'ma99': 19058.56787878788, 'below': False, 'above': True} 19037.39 19951.87
333 {'ptime': 1665711000, 'popen': 19445.2, 'phigh': 19750.0, 'plow': 19444.19, 'pclose': 19739.88, 'ma7': 19400.907142857144, 'ma25': 19397.576399999998, 'ma99': 19052.590909090908, 'below': False, 'above': True} 19037.39 19951.87
332 {'ptime': 1665710100, 'popen': 19399.96, 'phigh': 19458.0, 'plow': 19393.86, 'pclose': 19445.2, 'ma7': 19389.304285714286, 'ma25': 19395.7408, 'ma99': 19049.53696969697, 'below': False, 'above': True} 19037.39 19951.87
331 {'ptime': 1665709200, 'popen': 19407.66, 'phigh': 19432.3, 'plow': 19397.29, 'pclose': 19400.96, 'ma7': 19388.261428571426, 'ma25': 19396.548, 'ma99': 19047.075555555555, 'below': False, 'above': True} 19037.39 19951.87
330 {'ptime': 1665708300, 'popen': 19403.86, 'phigh': 19420.62, 'plow': 19393.0, 'pclose': 19407.66, 'ma7': 19387.77571428571, 'ma25': 19388.5536, 'ma99': 19044.409292929293, 'below': False, 'above': True} 19037.39 19951.87
329 {'ptime': 1665707400, 'popen': 19425.61, 'phigh': 19445.96, 'plow': 19391.08, 'pclose': 19403.87, 'ma7': 19391.782857142854, 'ma25': 19379.223599999998, 'ma99': 19041.896565656567, 'below': False, 'above': True} 19037.39 19951.87
328 {'ptime': 1665706500, 'popen': 19348.48, 'phigh': 19425.85, 'plow': 19338.07, 'pclose': 19425.61, 'ma7': 19394.03857142857, 'ma25': 19369.023999999998, 'ma99': 19039.18515151515, 'below': False, 'above': False} 19037.39 19951.87
327 {'ptime': 1665705600, 'popen': 19375.58, 'phigh': 19414.49, 'plow': 19340.6, 'pclose': 19347.7, 'ma7': 19404.989999999998, 'ma25': 19361.4008, 'ma99': 19037.235656565656, 'below': False, 'above': False} 19037.39 19951.87
326 {'ptime': 1665704700, 'popen': 19363.98, 'phigh': 19399.84, 'plow': 19362.36, 'pclose': 19375.13, 'ma7': 19407.81857142857, 'ma25': 19352.5348, 'ma99': 19035.06111111111, 'below': False, 'above': False} 19037.39 19951.87
325 {'ptime': 1665703800, 'popen': 19392.66, 'phigh': 19407.02, 'plow': 19353.88, 'pclose': 19364.74, 'ma7': 19413.13, 'ma25': 19342.578, 'ma99': 19032.951818181817, 'below': False, 'above': False} 19037.39 19951.87
324 {'ptime': 1665702900, 'popen': 19404.26, 'phigh': 19419.0, 'plow': 19382.83, 'pclose': 19393.6, 'ma7': 19412.58714285714, 'ma25': 19330.5092, 'ma99': 19030.73303030303, 'below': False, 'above': False} 19037.39 19951.87
323 {'ptime': 1665702000, 'popen': 19431.91, 'phigh': 19446.0, 'plow': 19399.54, 'pclose': 19404.26, 'ma7': 19410.687142857143, 'ma25': 19317.723599999998, 'ma99': 19028.432020202017, 'below': False, 'above': True} 19037.39 19951.87
322 {'ptime': 1665701100, 'popen': 19441.4, 'phigh': 19447.62, 'plow': 19419.01, 'pclose': 19431.0, 'ma7': 19406.85, 'ma25': 19307.3664, 'ma99': 19026.13717171717, 'below': False, 'above': True} 19037.39 19951.87
321 {'ptime': 1665700200, 'popen': 19425.14, 'phigh': 19444.89, 'plow': 19413.0, 'pclose': 19440.66, 'ma7': 19398.45142857143, 'ma25': 19287.4828, 'ma99': 19023.4998989899, 'below': False, 'above': True} 19037.39 19951.87
320 {'ptime': 1665699300, 'popen': 19395.38, 'phigh': 19457.0, 'plow': 19394.67, 'pclose': 19425.83, 'ma7': 19392.510000000002, 'ma25': 19267.7576, 'ma99': 19020.982525252526, 'below': False, 'above': True} 19037.39 19951.87
319 {'ptime': 1665698400, 'popen': 19401.16, 'phigh': 19444.06, 'plow': 19386.45, 'pclose': 19395.38, 'ma7': 19393.635714285716, 'ma25': 19250.286, 'ma99': 19018.71242424242, 'below': False, 'above': True} 19037.39 19951.87
318 {'ptime': 1665697500, 'popen': 19388.86, 'phigh': 19435.33, 'plow': 19385.5, 'pclose': 19401.16, 'ma7': 19400.372857142855, 'ma25': 19231.9824, 'ma99': 19016.575959595953, 'below': False, 'above': False} 19037.39 19951.87
317 {'ptime': 1665696600, 'popen': 19390.96, 'phigh': 19397.73, 'plow': 19328.72, 'pclose': 19388.86, 'ma7': 19397.670000000002, 'ma25': 19208.4716, 'ma99': 19014.381010101006, 'below': False, 'above': False} 19037.39 19951.87
316 {'ptime': 1665695700, 'popen': 19405.05, 'phigh': 19409.89, 'plow': 19387.33, 'pclose': 19390.25, 'ma7': 19393.907142857144, 'ma25': 19176.5648, 'ma99': 19011.866969696966, 'below': False, 'above': True} 19037.39 19951.87
315 {'ptime': 1665694800, 'popen': 19382.61, 'phigh': 19421.21, 'plow': 19375.23, 'pclose': 19406.07, 'ma7': 19384.614285714284, 'ma25': 19136.988800000003, 'ma99': 19009.150303030303, 'below': False, 'above': False} 19037.39 19951.87
314 {'ptime': 1665693900, 'popen': 19383.55, 'phigh': 19402.6, 'plow': 19360.3, 'pclose': 19382.61, 'ma7': 19387.0, 'ma25': 19098.4988, 'ma99': 19006.74393939394, 'below': False, 'above': False} 19037.39 19951.87
313 {'ptime': 1665693000, 'popen': 19403.26, 'phigh': 19425.26, 'plow': 19370.55, 'pclose': 19383.55, 'ma7': 19392.227142857144, 'ma25': 19059.456, 'ma99': 19004.256464646463, 'below': False, 'above': True} 19037.39 19951.87
312 {'ptime': 1665692100, 'popen': 19448.32, 'phigh': 19493.05, 'plow': 19380.89, 'pclose': 19403.26, 'ma7': 19364.304285714283, 'ma25': 19022.9776, 'ma99': 19001.729898989895, 'below': False, 'above': True} 19037.39 19951.87
311 {'ptime': 1665691200, 'popen': 19369.94, 'phigh': 19494.56, 'plow': 19355.28, 'pclose': 19448.32, 'ma7': 19324.631428571425, 'ma25': 18982.2828, 'ma99': 18998.43222222222, 'below': False, 'above': True} 19037.39 19951.87
17
17
17
17
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
15
15
15
15
15
15
15
15
15
15
14
14
14
14
14
14
14
14
14
14
14
13
13
13
13
13
13
13
13
12
12
12
12
12
12
12
12
12
11
11
11
11
11
11
11
11
11
11
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
9
9
9
9
9
10
10
10
10
10
10
10
10
10
10
10
10
11
11
11
11
11
12
12
12
12
12
13
13
13
13
13
14
14
14
14
14
14
14
15
15
15
15
15
15
15
15
15
16
16
16
16
16
16
16
16
17
17
17
17
17
17
17
18
18
18
18
18
18
18
18
19
19
19
19
19
19
19
19
19
19
19
19
19
19
19
19
19
19
19
19
19
19
19
19
19
