499 {'ptime': 1665410400, 'popen': 19315.02, 'phigh': 19341.48, 'plow': 19291.77, 'pclose': 19327.9, 'ma7': 0, 'ma25': 0, 'ma99': 0, 'below': False, 'above': True} 19114.24 19134.63
474 {'ptime': 1665837900, 'popen': 19179.1, 'phigh': 19193.02, 'plow': 19163.0, 'pclose': 19168.62, 'ma7': 19164.635714285716, 'ma25': 19147.5496, 'ma99': 19246.317373737376, 'below': False, 'above': False} 19094.01 19196.86
473 {'ptime': 1665837000, 'popen': 19196.86, 'phigh': 19196.86, 'plow': 19175.2, 'pclose': 19179.1, 'ma7': 19161.385714285716, 'ma25': 19147.5416, 'ma99': 19250.53101010101, 'below': False, 'above': False} 19094.01 19199.0
472 {'ptime': 1665836100, 'popen': 19156.13, 'phigh': 19199.0, 'plow': 19155.45, 'pclose': 19196.86, 'ma7': 19154.365714285716, 'ma25': 19146.216, 'ma99': 19254.72494949495, 'below': False, 'above': False} 19094.01 19199.0
471 {'ptime': 1665835200, 'popen': 19167.33, 'phigh': 19169.14, 'plow': 19151.05, 'pclose': 19156.13, 'ma7': 19156.36857142857, 'ma25': 19147.0076, 'ma99': 19260.197373737374, 'below': False, 'above': False} 19094.01 19199.0
470 {'ptime': 1665834300, 'popen': 19154.61, 'phigh': 19168.85, 'plow': 19143.27, 'pclose': 19167.33, 'ma7': 19149.35714285714, 'ma25': 19147.1696, 'ma99': 19265.656666666666, 'below': False, 'above': False} 19094.01 19199.0
469 {'ptime': 1665833400, 'popen': 19140.91, 'phigh': 19156.0, 'plow': 19139.1, 'pclose': 19154.61, 'ma7': 19142.73857142857, 'ma25': 19148.050799999997, 'ma99': 19271.036565656566, 'below': True, 'above': False} 19094.01 19199.0
468 {'ptime': 1665832500, 'popen': 19157.51, 'phigh': 19157.51, 'plow': 19140.61, 'pclose': 19140.92, 'ma7': 19139.527142857143, 'ma25': 19148.914, 'ma99': 19276.40181818182, 'below': False, 'above': False} 19094.01 19199.0
467 {'ptime': 1665831600, 'popen': 19156.35, 'phigh': 19166.07, 'plow': 19145.0, 'pclose': 19157.51, 'ma7': 19130.99142857143, 'ma25': 19150.128, 'ma99': 19282.028181818183, 'below': False, 'above': False} 19094.01 19199.0
466 {'ptime': 1665830700, 'popen': 19147.72, 'phigh': 19156.66, 'plow': 19133.0, 'pclose': 19155.33, 'ma7': 19123.218571428566, 'ma25': 19151.372399999997, 'ma99': 19287.2201010101, 'below': False, 'above': False} 19094.01 19199.0
465 {'ptime': 1665829800, 'popen': 19170.15, 'phigh': 19174.94, 'plow': 19143.59, 'pclose': 19147.72, 'ma7': 19112.094285714287, 'ma25': 19152.824399999998, 'ma99': 19292.28181818182, 'below': False, 'above': False} 19094.01 19199.0
